"","from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"126","CLT","LIT","PSA Airlines Inc.",23,1150,986,629,641
"127","CLT","LIT","PSA Airlines Inc.",32,2240,1961,631,641
"128","CLT","MDT","PSA Airlines Inc.",28,1400,1162,629,413
"129","CLT","MDT","PSA Airlines Inc.",29,2030,1753,631,413
"130","CLT","MGM","PSA Airlines Inc.",80,4000,2504,629,372
"131","CLT","MKE","PSA Airlines Inc.",1,50,35,629,651
"132","CLT","MKE","PSA Airlines Inc.",11,770,560,631,651
"133","CLT","MLB","PSA Airlines Inc.",6,300,279,629,490
"134","CLT","MLB","PSA Airlines Inc.",68,4760,3562,631,490
"135","CLT","MOB","PSA Airlines Inc.",79,3950,2301,629,526
"136","CLT","MOB","PSA Airlines Inc.",3,210,105,631,526
"137","CLT","MSP","PSA Airlines Inc.",4,280,230,631,930
"138","CLT","MSY","PSA Airlines Inc.",11,770,716,631,651
"139","CLT","MYR","PSA Airlines Inc.",36,2520,1724,631,156
"140","CLT","OAJ","PSA Airlines Inc.",79,3950,2528,629,191
"141","CLT","OAJ","PSA Airlines Inc.",52,3640,2407,631,191
"142","CLT","ORF","PSA Airlines Inc.",35,1750,1523,629,290
"143","CLT","ORF","PSA Airlines Inc.",34,2380,1943,631,290
"144","CLT","PGV","PSA Airlines Inc.",117,5850,3987,629,203
"145","CLT","PGV","PSA Airlines Inc.",1,70,61,631,203
"146","CLT","PHF","PSA Airlines Inc.",46,2300,1587,629,282
"147","CLT","PNS","PSA Airlines Inc.",1,50,44,629,488
"148","CLT","PNS","PSA Airlines Inc.",69,4830,3911,631,488
"149","CLT","PWM","PSA Airlines Inc.",7,350,323,629,812
"150","CLT","PWM","PSA Airlines Inc.",6,420,386,631,812
"151","CLT","RDU","PSA Airlines Inc.",3,150,133,629,130
"152","CLT","RDU","PSA Airlines Inc.",5,350,326,631,130
"153","CLT","RIC","PSA Airlines Inc.",6,300,249,629,256
"154","CLT","ROA","PSA Airlines Inc.",28,1400,890,629,155
"155","CLT","SAV","PSA Airlines Inc.",17,850,349,629,213
"156","CLT","SAV","PSA Airlines Inc.",40,2800,2141,631,213
"157","CLT","SDF","PSA Airlines Inc.",26,1300,774,629,336
"158","CLT","SDF","PSA Airlines Inc.",71,4970,3063,631,336
"159","CLT","SRQ","PSA Airlines Inc.",10,500,329,629,547
"160","CLT","SRQ","PSA Airlines Inc.",15,1050,891,631,547
"161","CLT","STL","PSA Airlines Inc.",5,250,175,629,575
"162","CLT","STL","PSA Airlines Inc.",12,840,492,631,575
"163","CLT","TLH","PSA Airlines Inc.",11,550,414,629,386
"164","CLT","TLH","PSA Airlines Inc.",108,7560,5258,631,386
"165","CLT","TRI","PSA Airlines Inc.",64,3200,1967,629,120
"166","CLT","TYS","PSA Airlines Inc.",206,10300,6204,629,177
"167","CLT","TYS","PSA Airlines Inc.",51,3570,2119,631,177
"168","CLT","VPS","PSA Airlines Inc.",77,3850,2716,629,460
"169","CLT","VPS","PSA Airlines Inc.",1,70,34,631,460
"170","CLT","XNA","PSA Airlines Inc.",77,3850,2681,629,754
"171","CMH","CLT","PSA Airlines Inc.",1,50,50,629,346
"172","CMH","CLT","PSA Airlines Inc.",34,2380,1974,631,346
"173","CMH","CRW","PSA Airlines Inc.",1,50,49,629,131
"174","CRW","CLT","PSA Airlines Inc.",81,4050,2929,629,221
"175","CVG","CLT","PSA Airlines Inc.",19,950,744,629,335
"176","CVG","CLT","PSA Airlines Inc.",27,1890,1324,631,335
"177","CVG","PHL","PSA Airlines Inc.",2,100,51,629,507
"178","DAB","CLT","PSA Airlines Inc.",7,350,291,629,416
"179","DAB","CLT","PSA Airlines Inc.",76,5320,4966,631,416
"180","DAY","CLT","PSA Airlines Inc.",83,4150,3337,629,370
"181","DAY","CLT","PSA Airlines Inc.",85,5950,4080,631,370
"182","DAY","DCA","PSA Airlines Inc.",104,5200,3346,629,391
"183","DAY","LGA","PSA Airlines Inc.",35,1750,1241,629,549
"184","DAY","PHL","PSA Airlines Inc.",87,4350,3241,629,477
"185","DCA","ABE","PSA Airlines Inc.",1,50,16,629,151
"186","DCA","BNA","PSA Airlines Inc.",89,4450,3224,629,562
"187","DCA","BUF","PSA Airlines Inc.",24,1200,700,629,296
"188","DCA","CAE","PSA Airlines Inc.",7,350,149,629,408
"189","DCA","CAK","PSA Airlines Inc.",30,1500,920,629,274
"190","DCA","CHA","PSA Airlines Inc.",24,1200,607,629,523
"191","DCA","CHS","PSA Airlines Inc.",4,200,143,629,444
"192","DCA","CLT","PSA Airlines Inc.",16,800,714,629,331
"193","DCA","DAY","PSA Airlines Inc.",74,3700,2742,629,391
"194","DCA","DTW","PSA Airlines Inc.",20,1000,847,629,405
"195","DCA","GSO","PSA Airlines Inc.",23,1150,574,629,248
"196","DCA","GSP","PSA Airlines Inc.",26,1300,752,629,396
"197","DCA","HPN","PSA Airlines Inc.",45,2250,1647,629,234
"198","DCA","HSV","PSA Airlines Inc.",23,1150,699,629,613
"199","DCA","MYR","PSA Airlines Inc.",13,650,332,629,372
"200","DCA","ORF","PSA Airlines Inc.",4,200,56,629,142
"201","DCA","PHL","PSA Airlines Inc.",31,1550,679,629,119
"202","DCA","PIT","PSA Airlines Inc.",2,100,45,629,205
"203","DCA","SAV","PSA Airlines Inc.",14,700,356,629,520
"204","DCA","SYR","PSA Airlines Inc.",26,1300,1035,629,298
"205","DCA","TYS","PSA Airlines Inc.",80,4000,1865,629,436
"206","DTW","CLT","PSA Airlines Inc.",4,200,186,629,500
"207","DTW","CLT","PSA Airlines Inc.",8,560,408,631,500
"208","DTW","DCA","PSA Airlines Inc.",21,1050,751,629,405
"209","EWN","CLT","PSA Airlines Inc.",63,3150,2555,629,221
"210","EWN","CLT","PSA Airlines Inc.",1,70,69,631,221
"211","FAY","CLT","PSA Airlines Inc.",25,1250,953,629,118
"212","FAY","CLT","PSA Airlines Inc.",56,3920,2994,631,118
"213","GNV","CAE","PSA Airlines Inc.",1,50,38,629,301
"214","GNV","CLT","PSA Airlines Inc.",114,5700,4332,629,389
"215","GPT","CLT","PSA Airlines Inc.",65,3250,2735,629,577
"216","GPT","CLT","PSA Airlines Inc.",22,1540,1045,631,577
"217","GSO","CLT","PSA Airlines Inc.",40,2000,1839,629,83
"218","GSO","CLT","PSA Airlines Inc.",16,1120,883,631,83
"219","GSO","DCA","PSA Airlines Inc.",25,1250,704,629,248
"220","GSO","LGA","PSA Airlines Inc.",23,1150,954,629,461
"221","GSO","PHL","PSA Airlines Inc.",2,100,100,629,365
"222","GSP","CLT","PSA Airlines Inc.",5,250,136,629,75
"223","GSP","DCA","PSA Airlines Inc.",27,1350,731,629,396
"224","HPN","CLT","PSA Airlines Inc.",53,2650,2221,629,564
"225","HPN","CLT","PSA Airlines Inc.",1,70,32,631,564
"226","HPN","DCA","PSA Airlines Inc.",48,2400,1777,629,234
"227","HPN","GSO","PSA Airlines Inc.",1,50,50,629,481
"228","HSV","CLT","PSA Airlines Inc.",69,3450,2713,629,333
"229","HSV","CLT","PSA Airlines Inc.",43,3010,2205,631,333
"230","IAD","CLT","PSA Airlines Inc.",5,250,211,629,321
"231","IAD","CLT","PSA Airlines Inc.",23,1610,1100,631,321
"232","ILM","CLT","PSA Airlines Inc.",3,150,131,629,185
"233","ILM","CLT","PSA Airlines Inc.",50,3500,2486,631,185
"234","ILM","LGA","PSA Airlines Inc.",2,100,95,629,501
"235","IND","CLT","PSA Airlines Inc.",5,250,229,629,428
"236","IND","CLT","PSA Airlines Inc.",29,2030,1846,631,428
"237","IND","PHL","PSA Airlines Inc.",30,1500,1134,629,587
"238","JAN","AGS","PSA Airlines Inc.",1,50,36,629,477
"239","JAN","CLT","PSA Airlines Inc.",100,5000,3732,629,562
"240","LEX","CLT","PSA Airlines Inc.",35,1750,1093,629,282
"241","LGA","CLT","PSA Airlines Inc.",64,3200,2569,629,544
"242","LGA","DAY","PSA Airlines Inc.",58,2900,2242,629,549
"243","LGA","GSO","PSA Airlines Inc.",22,1100,881,629,461
"244","LGA","ILM","PSA Airlines Inc.",2,100,51,629,501
"245","LIT","CLT","PSA Airlines Inc.",21,1050,939,629,641
"246","LIT","CLT","PSA Airlines Inc.",32,2240,2042,631,641
"247","MDT","CLT","PSA Airlines Inc.",28,1400,1173,629,413
"248","MDT","CLT","PSA Airlines Inc.",28,1960,1744,631,413
"249","MGM","CAE","PSA Airlines Inc.",1,50,16,629,326
"250","MGM","CLT","PSA Airlines Inc.",80,4000,2631,629,372
"251","MKE","CLT","PSA Airlines Inc.",1,50,41,629,651
"252","MKE","CLT","PSA Airlines Inc.",11,770,533,631,651
"253","MLB","CLT","PSA Airlines Inc.",6,300,213,629,490
"254","MLB","CLT","PSA Airlines Inc.",68,4760,2910,631,490
"255","MOB","ATL","PSA Airlines Inc.",1,50,44,629,302
"256","MOB","CLT","PSA Airlines Inc.",77,3850,2257,629,526
"257","MOB","CLT","PSA Airlines Inc.",3,210,118,631,526
"258","MSP","CLT","PSA Airlines Inc.",4,280,280,631,930
"259","MSY","CLT","PSA Airlines Inc.",10,700,630,631,651
"260","MYR","CLT","PSA Airlines Inc.",36,2520,2011,631,156
"261","MYR","DCA","PSA Airlines Inc.",12,600,370,629,372
"262","OAJ","CLT","PSA Airlines Inc.",79,3950,3046,629,191
"263","OAJ","CLT","PSA Airlines Inc.",52,3640,2454,631,191
"264","ORF","CLT","PSA Airlines Inc.",10,500,399,629,290
"265","ORF","CLT","PSA Airlines Inc.",34,2380,1925,631,290
"266","ORF","DCA","PSA Airlines Inc.",3,150,15,629,142
"267","ORF","LGA","PSA Airlines Inc.",24,1200,942,629,296
"268","PGV","CLT","PSA Airlines Inc.",117,5850,4414,629,203
"269","PGV","CLT","PSA Airlines Inc.",1,70,36,631,203
"270","PHF","CLT","PSA Airlines Inc.",46,2300,1781,629,282
"271","PHL","AVP","PSA Airlines Inc.",5,250,141,629,105
"272","PHL","BNA","PSA Airlines Inc.",24,1200,1081,629,675
"273","PHL","BUF","PSA Airlines Inc.",2,100,86,629,279
"274","PHL","BWI","PSA Airlines Inc.",52,2600,1736,629,90
"275","PHL","CAK","PSA Airlines Inc.",53,2650,1771,629,335
"276","PHL","CLE","PSA Airlines Inc.",2,100,50,629,363
"277","PHL","CLT","PSA Airlines Inc.",2,100,34,629,448
"278","PHL","CVG","PSA Airlines Inc.",2,100,63,629,507
"279","PHL","DAY","PSA Airlines Inc.",90,4500,2943,629,477
"280","PHL","DCA","PSA Airlines Inc.",26,1300,617,629,119
"281","PHL","GSO","PSA Airlines Inc.",23,1150,735,629,365
"282","PHL","HPN","PSA Airlines Inc.",5,250,158,629,116
"283","PHL","LGA","PSA Airlines Inc.",22,1100,905,629,96
"284","PHL","RIC","PSA Airlines Inc.",29,1450,934,629,198
"285","PHL","TYS","PSA Airlines Inc.",58,2900,1342,629,554
"286","PIT","DCA","PSA Airlines Inc.",2,100,20,629,205
"287","PNS","CLT","PSA Airlines Inc.",2,100,85,629,488
"288","PNS","CLT","PSA Airlines Inc.",68,4760,3753,631,488
"289","PWM","CLT","PSA Airlines Inc.",7,350,331,629,812
"290","PWM","CLT","PSA Airlines Inc.",6,420,399,631,812
"291","RDU","CLT","PSA Airlines Inc.",3,150,100,629,130
"292","RDU","CLT","PSA Airlines Inc.",5,350,331,631,130
"293","RIC","CLT","PSA Airlines Inc.",35,1750,1615,629,256
"294","ROA","CLT","PSA Airlines Inc.",28,1400,1123,629,155
"295","SAV","CLT","PSA Airlines Inc.",17,850,778,629,213
"296","SAV","CLT","PSA Airlines Inc.",40,2800,2034,631,213
"297","SAV","DCA","PSA Airlines Inc.",14,700,394,629,520
"298","SDF","CLT","PSA Airlines Inc.",26,1300,1136,629,336
"299","SDF","CLT","PSA Airlines Inc.",71,4970,3439,631,336
"300","SRQ","CLT","PSA Airlines Inc.",10,500,388,629,547
"301","SRQ","CLT","PSA Airlines Inc.",15,1050,860,631,547
"302","STL","CLT","PSA Airlines Inc.",5,250,243,629,575
"303","STL","CLT","PSA Airlines Inc.",12,840,757,631,575
"304","SYR","DCA","PSA Airlines Inc.",26,1300,796,629,298
"305","TLH","CLT","PSA Airlines Inc.",11,550,353,629,386
"306","TLH","CLT","PSA Airlines Inc.",107,7490,5369,631,386
"307","TRI","CLT","PSA Airlines Inc.",64,3200,1793,629,120
"308","TYS","CLT","PSA Airlines Inc.",203,10150,6433,629,177
"309","TYS","CLT","PSA Airlines Inc.",51,3570,1603,631,177
"310","TYS","DCA","PSA Airlines Inc.",78,3900,1864,629,436
"311","TYS","GSO","PSA Airlines Inc.",1,50,28,629,228
"312","TYS","MDT","PSA Airlines Inc.",1,50,35,629,497
"313","TYS","PHL","PSA Airlines Inc.",57,2850,1362,629,554
"314","VPS","CLT","PSA Airlines Inc.",75,3750,2339,629,460
"315","VPS","CLT","PSA Airlines Inc.",1,70,15,631,460
"316","XNA","CLT","PSA Airlines Inc.",77,3850,3018,629,754
"317","ABE","PHL","Piedmont Airlines",24,888,647,483,55
"318","ABE","PHL","Piedmont Airlines",44,2200,1308,484,55
"319","AGS","CLT","Piedmont Airlines",1,37,21,483,140
"320","AGS","CLT","Piedmont Airlines",35,1750,1458,484,140
"321","ALB","LGA","Piedmont Airlines",51,1887,589,483,136
"322","ALB","PHL","Piedmont Airlines",25,925,361,483,212
"323","AVL","CLT","Piedmont Airlines",8,296,212,483,92
"324","AVL","CLT","Piedmont Airlines",33,1650,1276,484,92
"325","AVP","PHL","Piedmont Airlines",73,2701,1622,483,105
"326","AVP","PHL","Piedmont Airlines",1,50,11,484,105
"327","BDL","DCA","Piedmont Airlines",2,74,38,483,313
"328","BDL","LGA","Piedmont Airlines",52,1924,342,483,101
"329","BDL","PHL","Piedmont Airlines",4,148,25,483,196
"330","BGM","PHL","Piedmont Airlines",40,1480,1017,483,165
"331","BGR","LGA","Piedmont Airlines",36,1332,374,483,378
"332","BOS","MDT","Piedmont Airlines",23,851,325,483,335
"333","BTV","LGA","Piedmont Airlines",83,3071,1784,483,258
"334","BTV","LGA","Piedmont Airlines",1,50,30,484,258
"335","BTV","PHL","Piedmont Airlines",3,111,97,483,336
"336","BUF","DCA","Piedmont Airlines",6,222,129,483,296
"337","BUF","LGA","Piedmont Airlines",46,1702,1067,483,292
"338","BUF","PHL","Piedmont Airlines",16,592,507,483,279
"339","BWI","CLT","Piedmont Airlines",1,37,33,483,361
"340","BWI","LGA","Piedmont Airlines",115,4255,2193,483,185
"341","BWI","PHL","Piedmont Airlines",49,1813,991,483,90
"342","BWI","PHL","Piedmont Airlines",32,1600,1056,484,90
"343","CAE","CLT","Piedmont Airlines",2,74,62,483,88
"344","CAE","CLT","Piedmont Airlines",24,1200,916,484,88
"345","CHA","CLT","Piedmont Airlines",2,74,54,483,242
"346","CHA","CLT","Piedmont Airlines",9,450,268,484,242
"347","CHO","CLT","Piedmont Airlines",51,1887,1287,483,245
"348","CHO","CLT","Piedmont Airlines",31,1550,1277,484,245
"349","CHO","EWR","Piedmont Airlines",1,37,30,483,289
"350","CHO","LGA","Piedmont Airlines",57,2109,1260,483,305
"351","CHO","PHL","Piedmont Airlines",24,888,554,483,210
"352","CHO","PHL","Piedmont Airlines",29,1450,968,484,210
"353","CLT","AGS","Piedmont Airlines",1,37,25,483,140
"354","CLT","AGS","Piedmont Airlines",35,1750,1352,484,140
"355","CLT","AVL","Piedmont Airlines",8,296,233,483,92
"356","CLT","AVL","Piedmont Airlines",33,1650,1250,484,92
"357","CLT","BWI","Piedmont Airlines",1,37,3,483,361
"358","CLT","CAE","Piedmont Airlines",2,74,9,483,88
"359","CLT","CAE","Piedmont Airlines",24,1200,395,484,88
"360","CLT","CHA","Piedmont Airlines",2,74,43,483,242
"361","CLT","CHA","Piedmont Airlines",9,450,280,484,242
"362","CLT","CHO","Piedmont Airlines",22,814,627,483,245
"363","CLT","CHO","Piedmont Airlines",57,2850,1955,484,245
"364","CLT","CRW","Piedmont Airlines",12,444,297,483,221
"365","CLT","CRW","Piedmont Airlines",1,50,31,484,221
"366","CLT","EWN","Piedmont Airlines",34,1258,922,483,221
"367","CLT","EWN","Piedmont Airlines",78,3900,2595,484,221
"368","CLT","FLO","Piedmont Airlines",72,2664,1821,483,99
"369","CLT","FLO","Piedmont Airlines",51,2550,1943,484,99
"370","CLT","GSP","Piedmont Airlines",10,370,300,483,75
"371","CLT","GSP","Piedmont Airlines",56,2800,1831,484,75
"372","CLT","HHH","Piedmont Airlines",172,6364,3550,483,207
"373","CLT","HHH","Piedmont Airlines",1,50,13,484,207
"374","CLT","HTS","Piedmont Airlines",30,1110,592,483,235
"375","CLT","HTS","Piedmont Airlines",74,3700,1832,484,235
"376","CLT","IAD","Piedmont Airlines",4,148,95,483,321
"377","CLT","ILM","Piedmont Airlines",3,111,98,483,185
"378","CLT","ILM","Piedmont Airlines",1,50,21,484,185
"379","CLT","LYH","Piedmont Airlines",19,703,424,483,175
"380","CLT","LYH","Piedmont Airlines",122,6100,3966,484,175
"381","CLT","OAJ","Piedmont Airlines",5,185,112,483,191
"382","CLT","OAJ","Piedmont Airlines",8,400,255,484,191
"383","CLT","PGV","Piedmont Airlines",7,259,157,483,203
"384","CLT","PGV","Piedmont Airlines",21,1050,842,484,203
"385","CLT","PHF","Piedmont Airlines",15,555,454,483,282
"386","CLT","PHF","Piedmont Airlines",8,400,309,484,282
"387","CLT","PHL","Piedmont Airlines",1,50,43,484,448
"388","CLT","ROA","Piedmont Airlines",20,740,499,483,155
"389","CLT","ROA","Piedmont Airlines",44,2200,1418,484,155
"390","CLT","SAV","Piedmont Airlines",1,37,6,483,213
"391","CLT","SBY","Piedmont Airlines",15,555,403,483,370
"392","CLT","SBY","Piedmont Airlines",55,2750,2037,484,370
"393","CLT","TRI","Piedmont Airlines",15,555,385,483,120
"394","CLT","TRI","Piedmont Airlines",69,3450,1697,484,120
"395","CLT","TYS","Piedmont Airlines",4,148,51,483,177
"396","CRW","CLT","Piedmont Airlines",12,444,337,483,221
"397","CRW","CLT","Piedmont Airlines",1,50,21,484,221
"398","CRW","PHL","Piedmont Airlines",1,37,3,483,356
"399","DCA","BDL","Piedmont Airlines",2,74,54,483,313
"400","DCA","BUF","Piedmont Airlines",4,148,104,483,296
"401","DCA","HHH","Piedmont Airlines",6,222,118,483,501
"402","DCA","HPN","Piedmont Airlines",26,962,361,483,234
"403","DCA","PHL","Piedmont Airlines",19,703,386,483,119
"404","DCA","ROC","Piedmont Airlines",4,148,66,483,296
"405","DCA","SYR","Piedmont Airlines",4,148,87,483,298
"406","ELM","PHL","Piedmont Airlines",60,2220,1556,483,180
"407","ELM","PHL","Piedmont Airlines",3,150,128,484,180
"408","ERI","PHL","Piedmont Airlines",74,2738,2040,483,300
"409","ERI","PHL","Piedmont Airlines",17,850,530,484,300
"410","EWN","CLT","Piedmont Airlines",34,1258,795,483,221
"411","EWN","CLT","Piedmont Airlines",78,3900,2996,484,221
"412","EWR","PHL","Piedmont Airlines",34,1258,926,483,81
"413","EWR","PHL","Piedmont Airlines",99,4950,4347,484,81
"414","FLO","CLT","Piedmont Airlines",72,2664,2102,483,99
"415","FLO","CLT","Piedmont Airlines",51,2550,1808,484,99
"416","GSP","CLT","Piedmont Airlines",10,370,265,483,75
"417","GSP","CLT","Piedmont Airlines",56,2800,2174,484,75
